0002,"Male Human NPC, Naked"
0119,"Brench, Wood"
011A,"button, dungeon"
011B,none
011C,none
011D,none
011E,wooden crate
011F,wooden table small
0120,"stool, wood"
0121,"Chair, Wood"
0122,"Bench, Stone"
0123,"Stool, Wood"
0124,"Arrow, on ground"
0125,"Axe, 1 Blade, Standing Up"
0126,"Axe, 2 Blade Standing Up"
0127,"Axe, Small, 1 Blade, Standing Up"
0128,"Bow, Laying Down"
0129,"Bow, Small, Laying Down"
012A,"arrow, on ground"
012B,"wooden club, standing up"
012C,"crowssbow, standing up"
012D,"crowssbow, standing up"
012E,"knife, standing up"
012F,"dagger, standing up"
0130,None
0131,"Dart, Laying Flat"
0132,"Arrow, Standing Up"
0133,Coconut Mace? Standing Up
0134,"Jitte, Small, Standing Up"
0135,"Sword, 1H, Standing Up"
0136,"Sword, curved blade, Standing Up"
0137,"Katar, Pointing Down"
0138,Knife? Standing Up
0139,Knife? Standing Up
013A,"Mace, standing up"
013B,"Mace, Dabus, standing up"
013C,"mace, spiked"
013D,melee staff
013E,sword
013F,sword
0140,"Ninja Star, Standing Up"
0141,"Axe, Small, 1 Blade, Standing Up"
0142,None
0143,Orb?
0144,"Longer Arrow, Standing Up"
0145,"Sword, 1H Standing Up"
0146,"Sword, 1H Standing Up"
0147,"Sword, 1H Standing Up"
0148,"Sword, 1H Standing Up"
0149,None
014A,None
014B,"sword, standing up"
014C,None
014D,"sword, standing up"
014E,"hammer, standing up"
014F,"hammer, standing up"
0150,backpack
0151,backpack
0152,backpack
0153,"Book, Closed, Laying on Ground"
0154,"Book, Open, Laying on Ground"
0155,"Page of book, on ground"
0156,"Scroll, rolled, on ground"
0157,None
0158,"scroll, rolled up"
0159,None
015A,none
015B,None
015C,None
015D,None
015E,None
015F,None
0160,Key
0161,"shield, tower"
0162,"shield, round"
0163,"Kite Shield, standing up"
0164,"Kite Shield, standing up"
0165,buckler or tiny round shield ??
0166,"Lockpick, standing up"
0167,None
0168,None
0169,None
016A,None
016B,None
016C,tub of water
016D,bed
016E,hammer?
016F,water holder
0170,None
0171,None
0172,wall hanging of some kind
0173,Tea Pot?
0174,None
0175,"mushroom, orange"
0176,loaf of bread
0177,"chicken, cooking"
0178,"food, orange"
0179,"calling stone type gem, blue"
017A,spiked collar?
017B,torch?
017C,"wand, standing up"
017D,"pick axe, standing up"
017E,peg leg?
017F,none
0180,Well with Covering
0181,"Sack, on ground"
0182,"Pillar, blue/brown"
0183,Book Case
0184,None
0185,Small Table
0186,Unclaimed/Brown Tattered Banner
0187,"Chair, Stone"
0188,"Spear, Stadning up"
0189,chest? podium?
018A,"scroll, unrolled, standing up"
018B,"male char, naked, posing"
018C,tent?
018D,wooden block?
018E,painting
018F,olthoi enslavement painting
0190,Isparian Arrival Painting
0191,Painting
0192,None
0193,None
0194,None
0195,None
0196,None
0197,Undead ____
0198,None
0199,None
019A,None
019B,None
019C,None
019D,None
019E,None
019F,None
01A0,None
01A1,None
01A2,None
01A3,None
01A4,None
01A5,None
01A6,underwear and upper torso
01A7,helm or some sort?
01A8,human legs model
01A9,None
01AA,None
01AB,None
01AC,None
01AD,None
01AE,None
01AF,None
01B0,None
01B1,None
01B2,None
01B3,purple portal
01B4,wooden stairs with platform
01B5,none
01B6,none
01B7,none
01B8,none
01B9,none
01BA,lantern
01BB,lantern
01BC,lantern
01BD,lantern
01BE,lantern
01BF,lantern
01C0,wooden piece
01C1,too small
01C2,too small
01C3,"upper body, arms chainmail upper,"
01C4,too small
01C5,too small
01C6,too small
01C7,small knife
01C8,None
01C9,None
01CA,None
01CB,None
01CC,None
01CD,None
01CE,None
01CF,None
01D0,None
01D1,None
01D2,None
01D3,None
01D4,None
01D5,None
01D6,None
01D7,None
01D8,None
01D9,None
01DA,None
01DB,armor?
01DC,None
01DD,None
01DE,None
01DF,food?
01E0,None
01E1,None
01E2,None
01E3,None
01E4,None
01E5,metal with wooden torch
01E6,none
01E7,wooden construction piece
01E8,metal with wooden torch
01E9,none
01EA,metal with wooden torch
01EB,metal with wooden torch
01EC,wooden construction piece
01ED,none
01EE,none
01EF,none
01F0,dinner plate
01F1,bowl
01F2,platter
01F3,none
01F4,none
01F5,none
01F6,stone with torch
01F7,stone with torch
01F8,stone with torch
01F9,none
01FA,1h axe standing up
01FB,none
01FC,none
01FD,none
01FE,none
01FF,none
0200,Wood Planks of some sort?
0201,Wood Planks of some sort?
0202,One Wood Board standing Up
0203,None
0204,None
0205,piece of a dungeon?
0206,piece of a dungeon?
0207,piece of a dungeon?
0208,piece of a dungeon?
0209,piece of a dungeon?
020A,None
020B,None
020C,None
020D,None
020E,wooden construction piece
020F,None
0210,piece of a dungeon/armor?
0211,"Chalice, On Ground"
0212,None
0213,None
0214,Palm Tree
0215,None
0216,None
0217,None
0218,None
0219,Smaller Island Tree
021A,None
021B,None
021C,None
021D,None
021E,None
021F,box
0220,None
0221,None
0222,Wooden / Rope Bridge
0223,None
0224,Wooden / Rope Bridge
0225,Wooden / Rope Bridge
0226,None
0227,Tiny Tree in Water Dish
0228,Two sided post wood double band
0229,Forge pit (small)
022A,None
022B,None
022C,None
022D,wooden construction piece
022E,None
022F,None
0230,None
0231,None
0232,Two sided post Wood top white band
0233,Two sided post (small)
0234,Two sided post Wood top white band (small)
0235,None
0236,None
0237,None
0238,None
0239,None
023A,None
023B,wood with torch
023C,None
023D,None
023E,None
023F,None
0240,Large bushy tree
0241,Small three cluster blue crystal
0242,Forge Pit (small) Opposite angle to 229
0243,Large flat Mushroom
0244,None
0245,None
0246,Large bushy tree longer trunk
0247,Large Cactus
0248,"Empyrean column, pyramid 8 levels high"
0249,None
024A,none
024B,"arwic style column, broken"
024C,"arwic style column, laying down"
024D,none
024E,broken tree
024F,2 wooden doors
0250,None
0251,Massive Double Tree
0252,None
0253,Palm Leaf Upright
0254,Cluster of four palm leaves branched out shrub
0255,Stone Pillar Flared
0256,Pine Tree (Medium)
0257,Pine Tree (Small)
0258,Pine Tree (Large)
0259,None
025A,stone tile floor
025B,None
025C,None
025D,None
025E,None
025F,None
0260,None
0261,Switch
0262,None
0263,None
0264,None
0265,None
0266,Three stack of boxes
0267,Two stack of boxes
0268,grey metal helmet
0269,None
026A,none
026B,turbine box
026C,none
026D,metal with wooden torch
026E,metal with wooden torch
026F,none
0270,Grey Sleeping Bag
0271,None
0272,Wooden Table
0273,Corner smoldering Lava pit
0274,Stone Flat Pedistle for dead bodies
0275,Stone statue pedistle
0276,Top of Fireplace
0277,Rolled Blanket
0278,Wood Stairs
0279,Wood Pillar
027A,none
027B,fountain
027C,wooden door
027D,none
027E,none
027F,fountain
0280,None
0281,prison doors ajar
0282,None
0283,small
0284,small
0285,Stone thing holding large flame
0286,Stone thing holding large flame
0287,Stone thing holding large flame
0288,Shackles
0289,shoes
028A,underwear?
028B,white shirt
028C,upper torso human
028D,black construction piece? olthoi acid
028E,none
028F,black construction piece? white aura
0290,sign with notes attached
0291,steps
0292,wooden circular structure
0293,jar with leaf
0294,jar
0295,jar
0296,none
0297,none
0298,none
0299,none
029A,none
029B,none
029C,none
029D,none
029E,none
029F,none
02A0,none
02A1,none
02A2,none
02A3,none
02A4,none
02A5,none
02A6,none
02A7,none
02A8,none
02A9,none
02AA,none
02AB,none
02AC,none
02AD,none
02AE,none
02AF,none
02B0,none
02B1,none
02B2,none
02B3,none
02B4,none
02B5,none
02B6,none
02B7,none
02B8,none
02B9,none
02BA,none
02BB,none
02BC,none
02BD,none
02BE,none
02BF,none
02C0,none
02C1,none
02C2,none
02C3,none
02C4,none
02C5,none
02C6,none
02C7,none
02C8,none
02C9,none
02CA,none
02CB,none
02CC,none
02CD,none
02CE,none
02CF,none
02D0,none
02D1,none
02D2,none
02D3,"tree, large"
02D4,none
02D5,none
02D6,none
02D7,"tree, large"
02D8,"tree, large"
02D9,"tree, large"
02DA,"tree, large"
02DB,"tree, large"
02DC,"tree, large"
02DD,none
02DE,none
02DF,none
02E0,none
02E1,none
02E2,none
02E3,none
02E4,none
02E5,none
02E6,none
02E7,none
02E8,none
02E9,none
02EA,none
02EB,none
02EC,none
02ED,none
02EE,"Llifestone, current style"
02EF,wooden steps
02F0,wooden steps
02F1,"tree, small"
02F2,"tree, small"
02F3,"tree, small"
02F4,"tree, small"
02F5,"tree, small"
02F6,"tree, small"
02F7,wooden steps
02F8,wooden steps
02F9,red triangle
02FA,healing kit
02FB,"wooden table, large rectangle"
02FC,"wooden table, small circle"
02FD,wooden podium
02FE,"steps, platform, steps"
02FF,monouga
0300,"4 steps, wooden"
0301,2 tier wooden steps
0302,none
0303,"8 steps, wooden"
0304,none
0305,skeleton skull
0306,portal space....
0307,blue tailsmen
0308,blue spell poweder
0309,blue spell liquod
030A,white jewel
030B,silver scarab
030C,"steps, platform, steps"
030D,none
030E,none
030F,none
0310,sho door
0311,wooden door
0312,sho door
0313,sho door
0314,Auroch
0315,none
0316,steps with platforms
0317,steps with platforms
0318,none
0319,none
031A,none
031B,none
031C,stone with fire
031D,standing stone (frore)
031E,noen
031F,"lever, dungeon"
0320,none
0321,none
0322,apple tree?
0323,none
0324,none
0325,large tree
0326,none
0327,none
0328,none
0329,none
032A,none
032B,"cactus, one arm"
032C,"cactus, tall"
032D,none
032E,too small
032F,too small
0330,pre patch heaume
0331,red pennant
0332,ladder steps
0333,2 tier ladder steps with platform
0334,none
0335,none
0336,none
0337,none
0338,none
0339,none
033A,none
033B,none
033C,stone forge
033D,"2 wood steps, platform"
033E,2 wood steps
033F,2 tier ladder steps with platform
0340,2 tier ladder steps with platform
0341,2 tier ladder steps with platform
0342,none
0343,none
0344,stone piece
0345,hanging pot to cook food
0346,lava light
0347,lava chandelire
0348,lava chandelire
0349,lava chandelire
034A,lava chandelire
034B,"lava pot, fire effect"
034C,"lava pot, fire effect"
034D,stone structure
034E,altar of asheron
034F,"corpse, hanging, arms spread"
0350,Metal / Lava piece of dungeon
0351,Lava stove with Bread?
0352,None
0353,none
0354,lava rock pit
0355,lava chandelire
0356,lava chandelire
0357,lava chandelire
0358,lava chandelire
0359,BZ PK Altar
035A,none
035B,stone pot
035C,none
035D,skeleton skull
035E,stone pot
035F,large stone with bush
0360,none
0361,none
0362,none
0363,none
0364,none
0365,none
0366,none
0367,none
0368,padded stool?
0369,padded stool?
036A,blue crystal
036B,blue crystal
036C,blue crystal
036D,blue crystal
036E,stone pot
036F,archway stone
0370,archway stone
0371,archway stone
0372,forge?
0373,none
0374,"stone column, tumerok bells?"
0375,"stone column, tumerok bells?"
0376,corpse hanging by arms
0377,none
0378,corpse hanging by arms
0379,corpse on ground
037A,"corpse on ground, laid out, face up"
037B,"corpse on ground, laid out, face down"
037C,"corpse on ground, laid out, face down"
037D,none
037E,2 doors
037F,none
0380,none
0381,none
0382,wood construction piece
0383,none
0384,stone arch piece
0385,none
0386,none
0387,none
0388,none
0389,none
038A,something invisible? weird effect
038B,"long wooden steps, ladder"
038C,"medium wooden steps, ladder"
038D,none
038E,none
038F,none
0390,none
0391,none
0392,none
0393,none
0394,none
0395,empyrean 3 arches
0396,ladder steps
0397,temple of enlight statue
0398,temple of enlight statue (larger)
0399,none
039A,none
039B,temple of enlight statue
039C,"temple of enlight statue, flame and light effect"
039D,temple of enlight statue (smaller)
039E,none
039F,none
03A0,none
03A1,"tree, large"
03A2,"tree, snow covered"
03A3,"tree, snow covered"
03A4,"tree, snow covered"
03A5,wooden construction piece
03A6,none
03A7,"tree, snow covered"
03A8,none
03A9,none
03AA,none
03AB,none
03AC,none
03AD,none
03AE,none
03AF,none
03B0,none
03B1,large empyrean head (skill temple entrance)
03B2,large empyrean head on side (skill temple entrance)
03B3,wooden planks
03B4,wooden stake
03B5,wooden fence
03B6,"lifestone, crystal only"
03B7,part of broken lifestone
03B8,part of broken lifestone
03B9,part of broken lifestone
03BA,wooden table
03BB,none
03BC,none
03BD,none
03BE,none
03BF,none
03C0,none
03C1,none
03C2,none
03C3,none
03C4,"steps, stone"
03C5,Large White Glow affect
03C6,Green Gas buble affect
03C7,Roundish Pillar with top and bottom
03C8,Roundish Pillar with bottom only
03C9,Base of Pillar Green top
03CA,Half Pillar with Green top
03CB,none
03CC,none
03CD,pile of bones
03CE,pile of bones
03CF,"melee staff, fire"
03D0,none
03D1,lillypad
03D2,lillypad with flower
03D3,grass
03D4,"arrow pointg up, fire effect"
03D5,sword
03D6,axe
03D7,"hammer, lightning"
03D8,none
03D9,fire shield
03DA,green landscape
03DB,none
03DC,none
03DD,green landscape
03DE,tree stump
03DF,tree stump
03E0,rock
03E1,none
03E2,rock
03E3,rock
03E4,waterfall effect
03E5,"windmill, spinning"
03E6,"windmill, pole"
03E7,none
03E8,none
03E9,none
03EA,huge tree
03EB,medium tree
03EC,large spiraling stairs
03ED,short tree
03EE,HUGE tree
03EF,HUGE tree
03F0,lightning bolts
03F1,none
03F2,huge hurved stairs
03F3,bolt animating
03F4,frost bolt spinning
03F5,blue taper
03F6,acid bolt
03F7,tall grass patch
03F8,yellow flowers
03F9,yellow flowers
03FA,animating white ring
03FB,stairs
03FC,slash bolt
03FD,thick fog
03FE,none
03FF,light fog or mist
0400,none
0401,white smoke effect
0402,white smoke effect
0403,none
0404,none
0405,none
0406,too small
0407,too small
0408,"skeleton, half armored"
0409,"skeleton, chest armor"
040A,naked human male with unded mask on
040B,half of large pillar
040C,none
040D,none
040E,none
040F,large hay stack
0410,empyrean pillar
0411,empyrean pillar
0412,empyrean pillar
0413,empyrean pillar
0414,empyrean pillar
0415,empyrean pillar
0416,empyrean pillar
0417,carving stone
0418,stacked stones
0419,"olthoi, old model"
041A,emprean stone
041B,"olthoi, old model"
041C,emprean stone
041D,none
041E,"olthoi, old model"
041F,"olthoi, old model"
0420,"olthoi, old model"
0421,empyrean stones
0422,2 wooden doors
0423,none
0424,none
0425,none
0426,none
0427,none
0428,none
0429,"stone floor, large"
042A,none
042B,"bz statue, beige stone"
042C,none
042D,none
042E,none
042F,none
0430,none
0431,none
0432,none
0433,none
0434,none
0435,none
0436,none
0437,none
0438,none
0439,none
043A,none
043B,shadow smoke on ground
043C,roudn stone pot
043D,none
043E,none
043F,blue crystal
0440,blue crystal
0441,"blue crystals,  large"
0442,blue crystal
0443,none
0444,none
0445,none
0446,none
0447,none
0448,none
0449,none
044A,none
044B,none
044C,none
044D,none
044E,none
044F,none
0450,stone floor tile?
0451,"post, flag?"
0452,olthoi style dungeon piece
0453,none
0454,none
0455,none
0456,none
0457,none
0458,none
0459,none
045A,none
045B,none
045C,none
045D,none
045E,none
045F,none
0460,none
0461,none
0462,none
0463,none
0464,none
0465,none
0466,none
0467,"fountain, stone"
0468,none
0469,"metal grate, smoke coming up (sewer)"
046A,sewer pipe with bars
046B,serer pipe with bars
046C,none
046D,none
046E,none
046F,none
0470,none
0471,none
0472,none
0473,none
0474,none
0475,none
0476,none
0477,none
0478,none
0479,buliding piece??
047A,dungeon piece
047B,"rabbit, black"
047C,none
047D,none
047E,none
047F,none
0480,none
0481,none
0482,none
0483,none
0484,none
0485,none
0486,something on fire too small to see
0487,"tiny mattekar, white"
0488,none
0489,none
048A,log? metal pieces
048B,none
048C,none
048D,none
048E,none
048F,none
0490,none
0491,none
0492,none
0493,none
0494,none
0495,none
0496,none
0497,none
0498,scalvus
0499,none
049A,zeifer
049B,zeifer
049C,none
049D,none
049E,none
049F,none
04A0,none
04A1,none
04A2,none
04A3,none
04A4,none
04A5,none
04A6,none
04A7,none
04A8,none
04A9,none
04AA,"knath, green"
04AB,"knath, blue"
04AC,knath clear
04AD,"knath, yellow"
04AE,"knath, white"
04AF,"knath, red"
04B0,"water skimmer bug, animated"
04B1,"palm tree, tall"
04B2,"palm tree, short"
04B3,none
04B4,none
04B5,"lever, dungeon"
04B6,weird lifestone thing from swank mansion
04B7,mana stone
04B8,mana stone
04B9,mana stone
04BA,none
04BB,"tree,, small"
04BC,"tree,, small"
04BD,chainmail something??
04BE,"tree, tall"
04BF,stones
04C0,none
04C1,"flowers, tall"
04C2,"flowers, tall"
04C3,tree man?
04C4,none
04C5,none
04C6,"aegis, blue"
04C7,"tree, no leaves"
04C8,wood steps and platform
04C9,wood steps and platform
04CA,wood steps and platform
04CB,none
04CC,none
04CD,none
04CE,none
04CF,none
04D0,none
04D1,none
04D2,none
04D3,none
04D4,olthoi grub??
04D5,none
04D6,"tentacle, fallen over"
04D7,none
04D8,none
04D9,none
04DA,none
04DB,none
04DC,none
04DD,pyreal bar
04DE,wooden steps
04DF,wooden steps
04E0,"wall, stone"
04E1,"wall, moldy stone"
04E2,"wall, stone"
04E3,"wall, olthoi"
04E4,"wall, stone"
04E5,none
04E6,none
04E7,"2 sided axe, frost"
04E8,"2 sided axe, acid"
04E9,"1 sided axe, fire"
04EA,"arrow, frost"
04EB,"1 sided axe, acid"
04EC,"2 sided axe, fire"
04ED,"1 sided axe, cold"
04EE,"quarrel, frost"
04EF,"quarrel, lightning"
04F0,"quarrel, acid"
04F1,knife? lightning
04F2,fire club
04F3,fire.... thing?
04F4,acid.. thing? I think its a dart..
04F5,Lightning sword
04F6,Acid axe
04F7,1 sided axe lightning
04F8,1 sided axe lightning
04F9,1 sided axe frost
04FA,"dagger, acid"
04FB,"dagger, lightning"
04FC,"dagger, fire"
04FD,"arrow, lightning"
04FE,"dagger, acid"
04FF,"2 sided axe, lightning"
0500,"dagger, frost"
0501,very small weapon with acid effect
0502,"1 sided axe, fire"
0503,"club, lightning"
0504,"dagger, fire"
0505,"dagger, fire"
0506,"dagger, frost"
0507,"dart, lightning"
0508,"arrow, acid, standing up"
0509,"dagger, frost"
050A,"club, frost"
050B,"arrow, lightning, standing up"
050C,"dart, frost"
050D,"arrow, fire, standing up"
050E,"jittie, acid"
050F,"club, acid"
0510,"dagger, lightning"
0511,"mace, acid"
0512,"sword, acid"
0513,"sword, lightning"
0514,"sword, fire"
0515,"jittie, fire"
0516,"dagger, frost"
0517,"mace, fire"
0518,"mace, fire"
0519,spear? frost
051A,"knife, acid"
051B,"katar, acid"
051C,"katar, fire"
051D,"mace, spiked, frost"
051E,"mace, spiked, acid"
051F,"knife, frost"
0520,"mace, spiked, lightning"
0521,H? lightning
0522,"knife, acid"
0523,"mace, lightning"
0524,"dagger, lightning"
0525,"mace, lightning"
0526,"mace, frost"
0527,"knife, fire"
0528,"mace, lightning"
0529,"jittie, lightning"
052A,"tachi, frost"
052B,"mace, fire"
052C,"mace, fire"
052D,"mace, acid"
052E,"mace, frost"
052F,"mace, acid"
0530,"katar, frost"
0531,"mace, frost"
0532,"mace, frost"
0533,"melee staff, frost"
0534,"melee staf, lightning (tremblants staff model?)"
0535,"ninja star, frost"
0536,"ninja star, fire"
0537,"sword, acid"
0538,"sword, frost"
0539,"dagger, fire"
053A,"melee staff, acid"
053B,"sword, fire"
053C,"ninja star, acid"
053D,"1 sided axe, acid"
053E,"sword, frost"
053F,"sword, acid"
0540,"1 sided axe, fire"
0541,"sword, fire"
0542,electric dagger
0543,"1 sided axe, frost"
0544,"spear, acid"
0545,"1 sided axe, lightning"
0546,"sword, lightning"
0547,sword
0548,"sword, fire"
0549,sword
054A,"sword, fire"
054B,"arrow, acid"
054C,"sword, frost"
054D,"spear?, lightning"
054E,"sword, acid"
054F,"sword, acid"
0550,"sword, frost"
0551,"sword, acid"
0552,"sword, frost"
0553,"sword, lightning"
0554,"sword, frost"
0555,"sword, fire"
0556,"knife, lightning"
0557,"ninja star, lightning"
0558,sword
0559,"1 sided axe, acid"
055A,"sword, fire"
055B,"sword, fire"
055C,"sword, acid"
055D,"1 sided axe, lightning"
055E,"sword, lightning"
055F,"sword, lightning"
0560,"sword, lightning"
0561,"axe, frost"
0562,"tachi, frost"
0563,"axe, fire"
0564,"tachi, lightning"
0565,hammer acid
0566,"sword, acid"
0567,"hammer, fire"
0568,"spear, fire"
0569,"hammer, fire"
056A,"sword, fire"
056B,sword
056C,"hammer, frost"
056D,spear? frost
056E,spear? frost
056F,spear? frost
0570,"spear, lightning"
0571,"spear, acid"
0572,"hammer, frost"
0573,"hammer, acid"
0574,"sword, acid"
0575,"hammer, lightning"
0576,"aegis, blue w/ black star aura"
0577,"aegis, blue with blue aura"
0578,"aegis, blue with green aura"
0579,"aegis, blue with yellow aura"
057A,"aegis, blue with purple aura"
057B,"aegis, blue with orange aura"
057C,"aegis, blue with white star aura"
057D,none
057E,none
057F,none
0580,none
0581,none
0582,none
0583,tall grass 
0584,"cone, brown/green filled white aura"
0585,"cone, brown/green filled green aura"
0586,"cone, brown/green filled yellow aura"
0587,none
0588,none
0589,none
058A,none
058B,sand auta (limited time)
058C,none
058D,none
058E,sand auta (limited time)
058F,"aegis, blue with blue aura"
0590,none
0591,lightning aura
0592,none
0593,"small object, huge lightning effect"
0594,none
0595,none
0596,none
0597,rock?
0598,arrow on ground
0599,"wisp, blue, old"
059A,"wisp, teal, old"
059B,"wisp, pink, old"
059C,"wisp, green, old"
059D,"wisp, red, old"
059E,wooden stake
059F,wooden stake
05A0,part of a building with stained glass and archway
05A1,chicken
05A2,part of a building with window and archway
05A3,none
05A4,part of a gharu building
05A5,part of a sho building
05A6,none
05A7,"streth, brown"
05A8,"cone, brown"
05A9,too small
05AA,too small
05AB,too small
05AC,too small
05AD,"asheron?? or human in asheron robe, no textures"
05AE,"bright fire effect, campfire?"
05AF,wooden torch
05B0,none
05B1,light effect
05B2,light effect
05B3,none
05B4,none
05B5,"lantern, large, acid effect"
05B6,"lantern, large, frost effect"
05B7,green light effect
05B8,blue light effect
05B9,green light effect
05BA,blue light effect
05BB,blue light effect
05BC,green light effect
05BD,green light effect
05BE,green light effect
05BF,"asheron?? or human in asheron robe, some textures"
05C0,"green lantern, weird"
05C1,"blue lantern, weird"
05C2,"blue lantern, weird"
05C3,"green lantern, weird"
05C4,"streth, bigger"
05C5,merchant sign
05C6,"wooden stairs, ladder"
05C7,"wooden stairs, ladder"
05C8,none
05C9,"rock, white"
05CA,"rock, tan"
05CB,"rock, white"
05CC,"rock, tan"
05CD,"rock, white"
05CE,"rock, tan"
05CF,"rock, tan"
05D0,"rock, white"
05D1,none
05D2,"portal, blue"
05D3,"portal, green"
05D4,"portal, orage"
05D5,"portal, red"
05D6,"portal, yellow"
05D7,"sword of lost light, OLD!"
05D8,candle on stick
05D9,candle on stick
05DA,"2 metal doors with arch, half open"
05DB,invisible
05DC,invisible
05DD,too small
05DE,too small
05DF,too small
05E0,too small
05E1,too small
05E2,too small
05E3,too small
05E4,too small
05E5,too small
05E6,too small
05E7,too small
05E8,too small
05E9,too small
05EA,too small
05EB,too small
05EC,too small
05ED,too small
05EE,too small
05EF,too small
05F0,too small
05F1,"2 metal doors with metal arch, half open"
05F2,"olthoi dungen door, half open"
05F3,arrow on ground
05F4,wooden block
05F5,none
05F6,none
05F7,none
05F8,none
05F9,none
05FA,alchemy knife?
05FB,alblemic
05FC,alchemy stuff
05FD,"liquid comp, blue"
05FE,alch/cooking something?
05FF,"liquid comp, blue"
0600,food
0601,food
0602,cooking utensil?
0603,"food, jar"
0604,cooking utensil?
0605,cooking pot
0606,cooking utensil?
0607,food
0608,food
0609,cooking pan
060A,honey jar
060B,pizza
060C,cooking something stirrer?
060D,cooking something red jar
060E,cooking white and yellow
060F,none
0610,honey jar
0611,road sign sho?
0612,bamboo sign with asian writing
0613,none
0614,"neokde, acid"
0615,"nekode, fire"
0616,"neokde, frost"
0617,"neokde, lightning"
0618,"cestus, acid"
0619,"cestus, fire"
061A,"cestus, frost"
061B,"cestus, fire"
061C,neokde
061D,cestus
061E,"table, broken"
061F,wand
